Motacilla alba	1243
Cyanoderma ambiguum	72
Hydroprogne/Thalasseus sp.	73
Falco columbarius	6
Anthipes monileger	25
Cecropis daurica/striolata	9
Buteo/eagle sp.	27
Cettia major	13
Turdus rubrocanus	19
Oriolus oriolus	1
Iduna caligata	606
Ardeola bacchus	7
Charadrius alexandrinus	499
Podiceps grisegena	2
Gallus gallus	393
Turdus ruficollis	2
Ptyonoprogne rupestris	63
Galerida cristata	226
Pnoepyga pusilla	61
Urocissa flavirostris/erythroryncha	3
Otus scops	1
Treron affinis	678
Hirundo domicola	161
Cyornis nicobaricus	4
Clangula hyemalis	1
Acrocephalus concinens	6
Timaliidae sp.	25
Harpactes wardi	7
Glaucidium radiatum	975
Ducula badia	425
Lanius schach	2336
Passer domesticus	3421
Egretta/Bubulcus sp.	978
Phyllergates cucullatus	37
Micropternus brachyurus	547
Anas sp.	7
Oceanites oceanicus	88
Phoenicurus fuliginosus	352
Actitis hypoleucos/macularius	1
Tragopan melanocephalus	1
Mergellus albellus	8
Dicrurus hottentottus	576
Chloris ambigua	6
Fregata andrewsi	1
Tephrodornis sylvicola	470
Dicrurus leucophaeus	2640
Prinia inornata	3136
Lonchura molucca	1
Certhia discolor	24
Macropygia unchall	59
Pomatorhinus schisticeps	80
Sitta castanea/cinnamoventris	2
Dendrocopos hyperythrus	59
Euodice malabarica	1550
Saxicola maurus	1076
Lyncornis macrotis	28
Mycerobas affinis	10
Orthotomus atrogularis	44
Sterna sp.	25
Anthus sp.	327
Phalaropus lobatus	9
Bucephala clangula	1
Pternistis/Francolinus/Peliperdix/Scleroptila sp.	17
Pelecanus onocrotalus	71
Turdus merula	1
Gallinago stenura/megala	1
Botaurus stellaris	3
Saxicola leucurus	26
Bulweria fallax	5
Lophotriorchis kienerii	130
Remiz coronatus	1
Otus bakkamoena	234
Caprimulgus macrurus	65
Turdus maximus	10
Phoenicurus erythronotus	1
Luscinia svecica	397
Ficedula hyperythra	40
Spelaeornis badeigularis	17
Ploceus manyar	318
Phylloscopus nitidus/trochiloides	962
Hirundo tahitica	23
Pericrocotus ethologus	270
Porzana porzana	8
Microhierax melanoleucos	13
Garrulax monileger	33
Anthus richardi	127
Psittacula sp.	1
Garrulax/Ianthocincla/Trochalopteron sp.	43
Phylloscopus sindianus	34
Spinus spinus	1
Seicercus affinis	16
Mixornis gularis	218
Dendrocopos atratus	1
Caprimulgus indicus/jotaka	3
Ianthocincla ocellata	21
Dendrocitta vagabunda	6716
Glaucidium cuculoides/radiatum	3
Psilopogon zeylanicus	962
Ficedula sordida	7
Gallus sonneratii	1920
Anser sp. (Domestic type)	2
Acrocephalus agricola	225
Calidris minuta	659
Passer pyrrhonotus	34
Pandion haliaetus	449
Clamator jacobinus	870
Emberiza striolata	20
Charadrius dubius	1272
Erpornis zantholeuca	79
Sylvia althaea/curruca	10
Serinus thibetanus	5
Vanellus duvaucelii	252
Anas querquedula	1034
Anthus nilghiriensis	45
Psilopogon haemacephalus	4116
Sylvia hortensis/crassirostris	1
Hypsipetes leucocephalus	544
Pteruthius melanotis	37
Dicaeum agile/erythrorhynchos	1
Locustella thoracica	16
Dicaeum chrysorrheum	32
Luscinia phaenicuroides	9
Turnix suscitator	160
Sturnidae sp.	20
Turdus dissimilis	17
Pelecanus philippensis	854
Trochalopteron erythrocephalum	154
Abroscopus schisticeps	97
Certhia manipurensis	1
Terpsiphone affinis	1
Apus pacificus/salimalii/leuconyx/cooki	2
Muscicapa dauurica	864
Copsychus saularis	8545
Actinodura nipalensis	23
Zoothera marginata	3
Hieraaetus pennatus	631
Stachyris oglei	4
Sporaeginthus formosus	3
Orthotomus sutorius	8780
Esacus recurvirostris	91
Psilopogon malabaricus	891
Psarisomus dalhousiae	64
Prinia superciliaris	1
Aceros nipalensis	38
Emberiza spodocephala	14
Halcyon pileata	105
Psittacula caniceps	3
Chloris spinoides	122
Anser erythropus	1
Lalage melaschistos	135
Iole virescens	7
Machlolophus xanthogenys	175
Leptoptilos javanicus/dubius	2
Pycnonotus sp.	30
Anas querquedula/crecca	1
Sitta formosa	13
Columba pulchricollis	7
Ardeidae sp.	54
Suthora fulvifrons	3
Psittiparus bakeri	2
Nectariniidae sp. (sunbird sp.)	630
Parus monticolus	445
Saroglossa spiloptera	19
Anas platyrhynchos	120
Certhia sp.	10
Turdoides earlei	141
Pyrrhula erythrocephala	18
Cyanoderma chrysaeum	54
Horornis fortipes	119
Dumetia hyperythra	522
Turdoides longirostris	4
Hydrophasianus chirurgus	899
Dicrurus sp.	242
Machlolophus spilonotus	61
Phalacrocoracidae sp.	705
Sylvia curruca	539
Columba livia	7658
Calidris temminckii	457
Cuculus canorus	213
Cyornis pallipes	309
Ardea cinerea	3331
Gruidae sp.	1
Zapornia akool	57
Dendrocopos canicapillus	181
Mirafra cantillans	30
Paradoxornis guttaticollis	4
Locustella davidi	13
Horornis sp.	9
Arborophila torqueola	117
Anous stolidus	8
Synoicus/Coturnix sp.	44
Regulus regulus	23
Cyornis poliogenys	89
Pericrocotus roseus	47
Enicurus immaculatus	66
Pericrocotus brevirostris	46
Brachypteryx major	18
Chalcophaps indica	977
Phoenicurus schisticeps	1
Ictinaetus malaiensis	547
Strix aluco	1
Treron phoenicopterus	1015
Porphyrio poliocephalus	2943
Psilopogon viridis	8126
Motacilla sp.	152
Cephalopyrus flammiceps	13
Ficedula hodgsoni	14
Nucifraga multipunctata	17
Alaemon alaudipes	3
Anthus richardi/rufulus	1
Haliaeetus leucoryphus	102
Anthus rufulus	2036
Irena puella	997
Ciconiidae sp.	7
Netta rufina	179
Phoenicurus sp.	6
Tickellia hodgsoni	16
Cettia cetti	3
Turnix sylvaticus	7
Phaenicophaeus tristis	127
Rallina [undescribed form]	1
Emberiza pusilla	25
Phoenicurus hodgsoni	24
Ninox scutulata	209
Trochalopteron fairbanki	128
Pteruthius rufiventer	19
Aythya fuligula	226
Dinopium javanense	155
Pluvialis sp.	4
Agropsar sturninus	3
Apus affinis	1723
Gallinago gallinago	479
Leptocoma brasiliana	1
Otus alius	4
Ixobrychus cinnamomeus	294
Coturnix coturnix	20
Anthracoceros coronatus	326
Motacilla flava	1500
Sturnia erythropygia	38
Pterocles orientalis	2
Ixos mcclellandii	77
Pnoepyga albiventer	42
Sitta sp.	18
Larus argentatus	2
Heterophasia gracilis	29
Spelaeornis chocolatinus	4
Pterocles senegallus	1
Turdus eunomus	1
Numenius arquata	283
Artamus leucorynchus	7
Dicaeum cruentatum	116
Stercorarius pomarinus	14
Podiceps cristatus	85
Prinia rufescens	20
Pycnonotus atriceps	6
Carpodacus edwardsii	8
Sitta castanea	124
Locustella luteoventris	5
Chrysomma sinense	666
Bucanetes githagineus	3
Tarsiger cyanurus	6
Tringa erythropus	225
Cuculus canorus/optatus	2
Monticola solitarius	258
Batrachostomus hodgsoni	11
Sasia ochracea	36
Corvus monedula	9
Puffinus persicus	8
Anthus trivialis/hodgsoni	3
Falco sp. (large falcon sp.)	1
Saxicola insignis	5
Locustella mandelli	14
Eudynamys scolopaceus	7410
Heterophasia pulchella	81
Anas zonorhyncha	8
Oenanthe xanthoprymna	16
Mycerobas carnipes	8
Muscicapa muttui	340
Rhipidura aureola	448
Yuhina gularis	89
Cinclus pallasii	101
Passer rutilans	246
Spilornis cheela	1923
Strix ocellata	117
Ithaginis cruentus	4
Larinae sp.	163
Asio otus	1
Larvivora cyane	1
Strigiformes sp.	62
Tringa totanus	797
Anthus cervinus	3
Buteo buteo	63
Pitta sordida	28
Actinodura egertoni	91
Emberiza stewarti	45
Streptopelia senegalensis	3009
Garrulus glandarius	140
Aythya marila	5
Pluvialis squatarola	89
Caprimulgus andamanicus	10
Anas poecilorhyncha	2804
Cygnus olor	1
Grus grus	104
Acrocephalus dumetorum	3336
Lophophorus sclateri	2
Pycnonotus luteolus	2547
Anthus rubescens	2
Phylloscopus inornatus/humei	10
Loxia curvirostra	6
Threskiornithidae sp. (ibis sp.)	21
Riparia riparia	42
Psilopogon duvaucelii	83
Heterophasia capistrata	314
Bucanetes mongolicus	5
Pluvialis apricaria/dominica/fulva	4
Sturnus vulgaris	98
Turdus unicolor	96
Phylloscopus fuligiventer	19
Egretta gularis	412
Gyps tenuirostris	26
Indicator xanthonotus	10
Ducula nicobarica	7
Phylloscopus chloronotus	203
Calidris subminuta	17
Eremopterix griseus	994
Calidris ruficollis/minuta	2
Perdicula manipurensis	1
Paradoxornis flavirostris	6
Sylvia nana	13
Limosa sp.	9
Procellariidae sp. (shearwater sp.)	8
Hemixos flavala	200
Carpodacus rodopeplus	4
